class	stat	age	trestbps	chol	thalach	oldpeak
21	mean	43.666666666666664	106.66666666666667	199.66666666666666	172.33333333333334	0.0
21	std	2.179449471770337	2.499999999999999	3.278719262150999	3.9051248379533257	0.0
22	count	8.0	8.0	8.0	8.0	8.0
22	mean	38.0	138.0	175.0	173.0	0.0
22	std	0.0	0.0	0.0	0.0	0.0
23	count	8.0	8.0	8.0	8.0	8.0
23	mean	58.0	152.5	298.0	145.5	0.9
23	std	3.2071349029490928	8.017837257372731	9.621404708847278	0.5345224838248488	0.10690449676496973
24	count	8.0	8.0	8.0	8.0	8.0
24	mean	44.0	138.0	313.0	122.5	1.8
24	std	2.138089935299395	2.1380899352994023	2.13808993529939	2.6726124191242415	0.0
25	count	8.0	8.0	8.0	8.0	8.0
25	mean	65.5	161.0	219.5	152.5	0.7
25	std	1.6035674514745464	9.621404708847278	8.017837257372731	2.6726124191242437	0.10690449676496978
26	count	7.0	7.0	7.0	7.0	7.0
26	mean	57.57142857142857	132.57142857142858	312.14285714285717	155.0	0.0
26	std	0.5345224838248489	4.2761798705987895	8.552359741197579	3.7416573867739413	0.0
27	count	7.0	7.0	7.0	7.0	7.0
27	mean	59.714285714285715	125.71428571428571	334.2857142857143	170.28571428571428	0.0
27	std	1.6035674514745457	5.3452248382484875	5.345224838248485	1.603567451474548	0.0
28	count	7.0	7.0	7.0	7.0	7.0
28	mean	39.714285714285715	139.71428571428572	180.42857142857142	172.57142857142858	1.4
28	std	5.879747322073337	2.1380899352993956	3.2071349029490936	11.759494644146672	0.0
29	count	7.0	7.0	7.0	7.0	7.0
29	mean	46.857142857142854	121.71428571428571	259.7142857142857	153.42857142857142	0.6714285714285715
29	std	1.069044967649698	2.138089935299396	13.363062095621222	11.759494644146669	0.16035674514745468
30	count	7.0	7.0	7.0	7.0	7.0
30	mean	64.71428571428571	153.57142857142858	230.14285714285714	143.14285714285714	2.3
30	std	1.6035674514745455	8.017837257372733	2.672612419124246	6.414269805898185	0.0
31	count	7.0	7.0	7.0	7.0	7.0
31	mean	56.857142857142854	121.71428571428571	275.57142857142856	96.71428571428571	1.9142857142857144
31	std	4.810702354423639	1.6035674514745468	8.017837257372733	2.1380899352993956	0.10690449676496974
32	count	7.0	7.0	7.0	7.0	7.0
32	mean	55.714285714285715	170.28571428571428	253.85714285714286	177.28571428571428	0.0
32	std	1.6035674514745457	20.311854385344255	27.260646675067292	16.57019699857031	0.0
33	count	7.0	7.0	7.0	7.0	7.0
33	mean	57.42857142857143	150.0	273.42857142857144	111.57142857142857	0.6857142857142857
33	std	0.5345224838248495	0.0	3.207134902949096	0.5345224838248472	0.10690449676496978
34	count	7.0	7.0	7.0	7.0	7.0
34	mean	55.857142857142854	126.85714285714286	347.14285714285717	164.71428571428572	0.9428571428571428
34	std	1.0690449676496987	6.4142698058981855	6.414269805898185	1.6035674514745475	0.32071349029490925
35	count	7.0	7.0	7.0	7.0	7.0
35	mean	41.57142857142857	114.57142857142857	238.28571428571428	136.57142857142858	1.2
35	std	3.2071349029490928	4.2761798705987895	24.053511772118195	4.276179870598792	0.0
36	count	7.0	7.0	7.0	7.0	7.0
36	mean	58.857142857142854	135.42857142857142	173.71428571428572	116.42857142857143	2.957142857142857
36	std	2.6726124191242446	3.2071349029490936	9.62140470884728	10.690449676496975	0.8017837257372732
37	count	7.0	7.0	7.0	7.0	7.0
37	mean	59.857142857142854	139.42857142857142	267.7142857142857	93.14285714285714	1.2
37	std	2.6726124191242437	11.759494644146672	5.879747322073337	4.81070235442364	0.0
38	count	7.0	7.0	7.0	7.0	7.0
38	mean	55.42857142857143	103.42857142857143	233.57142857142858	152.14285714285714	0.1
38	std	3.2071349029490923	4.276179870598795	0.534522483824857	4.810702354423635	0.0
39	count	7.0	7.0	7.0	7.0	7.0
39	mean	61.714285714285715	130.0	253.57142857142858	145.71428571428572	1.4
39	std	1.6035674514745462	0.0	0.5345224838248465	1.603567451474548	0.0
40	count	7.0	7.0	7.0	7.0	7.0
40	mean	55.142857142857146	127.42857142857143	275.7142857142857	105.57142857142857	1.8571428571428572
40	std	1.0690449676496983	3.2071349029490936	9.08688222502244	3.2071349029490928	0.3207134902949093
41	count	7.0	7.0	7.0	7.0	7.0
41	mean	66.28571428571429	106.57142857142857	287.7142857142857	142.85714285714286	0.0
41	std	5.879747322073336	4.27617987059879	28.329691642716984	16.035674514745462	0.0
42	count	7.0	7.0	7.0	7.0	7.0
42	mean	51.0	135.71428571428572	301.57142857142856	159.71428571428572	1.4285714285714286
42	std	0.0	5.3452248382484875	3.207134902949096	16.57019699857031	0.2138089935299396
43	count	7.0	7.0	7.0	7.0	7.0
43	mean	60.285714285714285	127.71428571428571	223.57142857142858	139.14285714285714	2.028571428571429
43	std	1.6035674514745464	2.138089935299397	6.94879228972304	6.4142698058981855	0.2138089935299396
44	count	7.0	7.0	7.0	7.0	7.0
44	mean	42.285714285714285	114.85714285714286	150.14285714285714	179.0	0.2571428571428571
44	std	1.6035674514745462	6.414269805898185	8.55235974119759	3.7416573867739378	0.32071349029490925
45	count	7.0	7.0	7.0	7.0	7.0
